udp.stream,frame.number,dns.id,dns.qry.name,dns.resp.name,dns.resp.type,dns.a,dns.aaaa
43,8627,0x0000e806,www.google-analytics.com,www.google-analytics.com;www-google-analytics.l.google.com,5;1,172.217.166.238,
44,8628,0x0000dfe6,www.google-analytics.com,www.google-analytics.com;www-google-analytics.l.google.com,5;28,,2404:6800:4002:80a::200e
46,8702,0x0000833c,live.github.com,github.com,6,,
46,8709,0x0000833c,live.github.com,,,,
46,8710,0x0000833c,live.github.com,,,,
48,8712,0x0000cf3f,live.github.com,live.github.com,1,140.82.113.25,
47,8835,0x0000e806,www.google-analytics.com,www.google-analytics.com;www-google-analytics.l.google.com,5;1,172.217.167.238,
50,9577,0x00000bcc,collector.githubapp.com,collector.githubapp.com;us-east-1.elb.amazonaws.com,5;6,,
52,9579,0x0000dfec,analytics-collector-28944298.us-east-1.elb.amazonaws.com,,,,
49,9597,0x00005a29,collector.githubapp.com,collector.githubapp.com;analytics-collector-28944298.us-east-1.elb.amazonaws.com;analytics-collector-28944298.us-east-1.elb.amazonaws.com,5;1;1,3.214.233.124;52.45.227.217,
49,9598,0x00005a29,collector.githubapp.com,collector.githubapp.com;analytics-collector-28944298.us-east-1.elb.amazonaws.com;analytics-collector-28944298.us-east-1.elb.amazonaws.com,5;1;1,3.214.233.124;52.45.227.217,
51,9726,0x00005a29,collector.githubapp.com,collector.githubapp.com;analytics-collector-28944298.us-east-1.elb.amazonaws.com;analytics-collector-28944298.us-east-1.elb.amazonaws.com,5;1;1,3.214.233.124;52.45.227.217,
53,9994,0x00008861,avatars1.githubusercontent.com,avatars1.githubusercontent.com;github.map.fastly.net,5;1,199.232.20.133,
54,9995,0x00007be3,avatars2.githubusercontent.com,avatars2.githubusercontent.com;github.map.fastly.net,5;1,199.232.20.133,
55,9996,0x00002cd4,avatars2.githubusercontent.com,avatars2.githubusercontent.com;fastly.net,5;6,,
58,9999,0x0000f149,github.map.fastly.net,,,,
59,10006,0x00007660,live.github.com,live.github.com,1,140.82.113.25,
56,10029,0x0000db92,api.github.com,api.github.com,1,13.233.76.15,
57,10034,0x0000dadf,api.github.com,github.com,6,,
60,10036,0x0000dadf,api.github.com,,,,
61,10073,0x000068fe,live.github.com,live.github.com,1,140.82.113.25,
